english,russian
Creature,Существо
Credential,"Удостоверение, аккредитация"
Credible,Заслуживающий доверия
Creed,"Вероисповедание, убеждение"
Creek,Ручей
Creep,"Гад, урод (разг)"
"Creep (crept, crept)","Ползти, красться"
Creepy,Жуткий
Crest,Гребень
Crew,"Команда, экипаж"
Crib,Раскладушка или дет. кроватка
Crime,Преступление
Criminal,Преступник
Crimson,"Малиновый, багряный"
Cringe,Съёживаться
Cripple,"Калека, калечить"
Crisp,Хрустящий
Crook,"Сгибать, искривлять"
Crop,Урожай
Cross,"Пересекать, пересечение, крест"
Cross out,Вычеркнуть
Crossroads,"Перекрёсток, перепутье"
Crouch,"Присесть, припасть к земле"
Crow,Ворона
Crowd,Толпа
Crown,"Корона, короновать"
Crucial,"Решающий, критический"
Crude,"Сырой, грубый, необработанный"
Cruel,Жестокий
Crumb,"Крошка, крупица"
Crumble,"Крошить, рушиться"
Crumple,Смять
Crunch,Хрустеть
Crusade,Крестовый поход
Crush,"Раздавливать, дробить"
Crust,"Кора, корка"
Cry out,"Закричать (от страха, боли)"
Cub,Детеныш
Cubicle ,"Отсек, кабинка"
Cucumber,Огурец
Cuddle,"Обнимать, прижимать"
Cue,"Сигнал, намёк"
Cuisine,Кухня
Cupboard,"Шкаф, буфет"
Curb,"Узда, обуздать, сдержать"
Curb,Бордюр или обочина
Cure,Лечить
Curious,Любопытный
Curl,"Скручивать, клубиться, завиток"
Currency,Валюта
Curriculum vitae,"Резюме, биография"
Curse,Проклятие
Curtain,"Занавеска, занавес"
Curve,"Изгибать, кривая"
Cushion,Подушка (маленькая)
Custody,"Охрана, стража или опека"
Custom,"Заказной, индивидуальный"
Custom,"Обычай, привычка"
Customer,Клиент
Customs,Таможня
Cut across,"Пересечь, срезать путь"
Cut down,"Урезать, уменьшить"
Cut off,"Отрезать, отключить"
Cute,"Привлекательный, милый"
Dagger,Кинжал
Daily,Ежедневно
Dairy,Молочные продукты
Dam,Плотина
Damage,"Вред, повреждать"
Damn,"Проклятый, проклинать"
Damp,"Сырой, сырость"
Dangle,Мотаться
Dare,Осмелиться
Darling,Дорогой/ая (устар.) 
Darn,Штопать
Dash,"Тире, чёрточка"
Dash,"Бросать, бросаться"
Dash,Разрушить (перен.)
Data,Данные
Database,База данных
Daunt,"Пугать, обескураживать"
Dawn,Рассвет
Dawn on,Осенить
Day off,Выходной
Daze,Ошеломить
Dazzle,Ослепить
Dead end,Тупик
Deaf,Глухой
Deal,Сделка
Deal in,Заниматься (напр. торговать)
Deal with,Иметь дело с
Debate,"Обсуждать, спорить"
Debris,"Мусор, обломки, завалы"
Debt,Долг
Decade,Десятилетие или десяток
Decay,"Распад, упадок, разлагаться"
Deceased,"Покойный, усопший"
Deceive,Обманывать
Decent,"Приличный, достойный"
Deception,Обман
Decide,Решить
Decisive,"Решающий, решительный"
Deck,"Палуба, крышка, настил"
Declare,Объявлять
Decline,"Отказаться, отклонить"
Decline,"Снижаться, снижение"
Decorate,Украшать
Decrease,"Уменьшать(ся), уменьшение"
Decree,"Постановление, декрет, указ"
Dedicate,Посвящать
Deduct,Вычитать (об. про деньги)
Deed,"Дело, поступок"
Deem,Считать (чем-либо)
Deep,Глубокий
Deer (pl:deer),Олень
Defeat,"Поражение, наносить поражение"
Defence (defense),"Защита, защитный"
Defend,Защитить
Deficient,"Недостаточный, неполный"
Define,Определять
Definite,Определённый
Deflect,"Отклонять, преломлять"
Deft,"Ловкий, проворный"
Defy,"Пренебрегать, отрицать"
Degree,Степень (во всех значениях)
Degree,Градус
Deity,Божество
Delay,Задерживать(ся)
Deliberate,"Обдуманный, преднамеренный"
Delicate,"Тонкий, нежный, хрупкий"
Delicious,Восхитительный (о еде)
Delight,Восторг
Delinquent,Правонарушитель
Deliver,Доставлять
Deliver,Рожать
Delusion,"Наваждение, заблуждение"
Demand,Требовать
Demand,Спрос
Demise,"Кончина, конец"
Demolish,Сносить
Den,"Логово, берлога"
Denote,Обозначать
Denounce,"Осуждать, разоблачать"
Dense,Густой
Dent,Вмятина
Dental,"Зубной, стоматологический"
Deny,Отрицать
Depart,"Отправляться, отходить"
Depend,Зависеть
Dependent,Зависимый
Depict,"Изображать, описывать"
Deplete,Истощать
Deploy,Развёртывать
Depot,"Хранилище, база, склад"
Depress,"Угнетать, подавлять"
Deprive,Лишать
Depth,Глубина
Deputy,"Депутат, представитель"
Derive,"Выводить, извлекать"
Descend,Спускаться
Descend from,Происходить от
Describe,Описать
Desert,Пустыня
Desert,"Бросать, оставлять"
Deserve,Заслуживать
Designate,"Обозначать, называть"
Desire,"Желание, желать"
Desk,Письменный стол
Desktop,Настольный
Desolate,"Пустынный, безлюдный"
Despair,"Отчаяние, безнадёжность"
Desperate,"Отчаянный, безвыходный"
Despise,Презирать
Destination,Место назначения
Destiny,"Судьба, предназначение"
Destroy,Разрушать
Detach,"Отделить, оторвать"
Detain,Задерживать
Detect,"Обнаружить, выявить"
Detention,"Задержание, арест"
Deter,Удерживать (от действия)
Deteriorate,Ухудшать
Determine,Определить
Determined,Решителен
Detriment,"Ущерб, вред"
Devastate,"Опустошать, разорять"
Develop,"Развивать, разрабатывать"
Deviate,Отклоняться
Devise,"Придумывать, изобретать"
Devoid,Лишенный
Devote,"Посвятить, уделить"
Devour,Пожирать
Dial,Набирать номер
Diamond,Бриллиант обычно алмаз
Diary,Дневник
Dice (pl: dice),Кубик (игральный)
Dictionary,Словарь
Die down,Утихнуть
Die out,Вымереть
Differ,Отличаться
Difficulty,Трудность
Diffuse,"Рассеивать, распылять"
"Dig (dug, dug)",Копать
Dig up,Откопать
Digest,Переваривать
Digit,Цифра
Dignity,Достоинство
Diligent,"Усердный, старательный"
Dilute,"Разбавлять, разводить"
Dim,Тусклый
Dimension,"Измерение, размер"
Diminish,Уменьшаться
Dine,Ужинать
Dip,"Окунать, погружать"
Dire,"Страшный, тяжёлый"
Directory,Справочник
Disable,"Отключить, нейтрализовать"
Disabled,Инвалид (прил.)
Disappoint,Разочаровывать
Disaster,Бедствие
Discard,"Отбросить, отказаться"
Discern,"Различить, распознать"
Disciple,"Ученик, последователь"
Disclose,"Раскрывать, обнаруживать"
Discount,Скидка
Discourage,"Отговорить, демотивировать"
Discourse,"Речь, рассуждение"
Discover,Открыть (новое)
Discreet,Сдержанный
Discrepancy,"Несоответствие, расхождение"
Discrete,"Отдельный, разрозненный"
Discretion,"Благоразумие, усмотрение"
Discriminate,"Различать, разделять"
Discuss,Обсуждать
Disdain,"Пренебрегать, презирать"
Disease,Болезнь
Disgrace,"Бесчестие, позор"
Disguise,"Маскировать, маскировка"
Disgust,Отвращение
Dish,Тарелка или миска
Dish,Блюдо
Disillusion,Разочаровывать
Dislocate,"Вывихнуть, сместить"
Dismantle,"Разобрать, демонтировать"
Dismay,"Испуг, тревога, потрясение"
Dismiss,"Прогонять, посылать, увольнять"
Dismiss,"Отклонить, отбросить"
Disorder,Беспорядок
Disparity,Неравенство
Dispatch,"Отправлять, отправка"
Dispel,"Развеяться, исчезнуть"
Dispense,"Распределять, раздавать"
Dispense with,"Обойтись без, избавиться"
Disperse,Рассеиваться
Displace,"Вытеснять, смещать"
Display,"Показ(ывать), демонстрировать"
Dispose of,"Располагать, распоряжаться"
Dispose of,Избавиться
Dispute,"Спор, спорить"
Disrupt,"Нарушить, сорвать"
Dissent,"Несогласие, не соглашаться"
Dissipate,Рассеивать
Dissolve,"Растворять, растворяться"
Distant,Отдалённый
Distinct,"Чёткий, различимый"
Distinguish,"Выделять, отличать"
Distort,Искажать
Distract,Отвлекать
Distress,"Несчастье, страдание"
Distribute,Распределять
District,"Район, округ и т. п."
Disturb,Тревожить
Ditch,Ров
Dive,Нырять
Diverge,Расходиться
Diverse,Разнообразный
Divert,"Отвлечь, развлечь"
Divide,Делить
Divine,Божественный
Divorce,"Развод, разводиться"
Dizzy,Головокружительный
Do about,Сделать (с чем-то)
Do away with,"Покончить, избавиться"
Do up,Привести в порядок
Do without,Обойтись без
Dock,"Причал, док"
Dodge,"Уворачиваться, уклоняться, уловка"
Dole,Пособие по безработице
Doll,Кукла
Domain,"Область, сфера, владение"
Dome,"Купол, свод"
Domestic,Домашний
Domestic,Внутренний (о политике)
Donate,"Жертвовать, скидываться"
Donkey,Осел
Doom,"Гибель, рок, обречённость и т. д."
Doorway,Дверной проем
Dope,"Наркотик, дурман"
Dormitory,Общежитие
Dot,Точка
Double,"Удваивать, двойной"
Doubt,"Сомневаться, сомнение"
Dough,Тесто
Doughnut,Пончик
Downtown,Центр города
Downturn,Спад
Dozen,Дюжина
Draft,"Тяга, сквозняк"
Draft,"Проект, черновик, набросок"
Drag,"Тащить, волочить"
Drag on,Тянуться долго
Drain,"Слив, водосток"
Drastic,"Радикальный, резкий"
"Draw (drew, drawn)","Тянуть, влечь"
Draw up,Составить (документ)
Drawback,Недостаток
Drawer,Выдвижной ящик
Dread,"Страх, бояться"
Dream,Сон (видение)
Dream up,Придумать (в деталях)
Dress,Одеваться
Dress up,Нарядиться
Drift,Дрейфовать или дрифтовать
Drill,"Сверло, сверлить"
Drills,"Тренировка, учение"
Drip,"Капля, капать"
"Drive (drove, driven)",Водить машину
"Drive (drove, driven)","Двигать, гнать"
Drive out,Выгнать
Drizzle,"Моросить, морось"
Drop,"Падать, ронять"
Drop,Капля
Drop by,Зайти (по пути)
Drop off,"Завезти, высадить"
Drop out of,Бросить (учёбу)
Drought,Засуха
Drown,Тонуть
Drug,Лекарство или наркотик
Drum,"Барабан, барабанить"
Dry,"Сухой, сушить, засуха"
Dry up,"Пересохнуть, иссякнуть"
Dual,"Парный, двоякий"
Dub,Дублировать
Dubious,Сомнительный
Duckling,Утёнок
Dude,Чувак
Due,"Должный, положенный"
Due to,"Из-за, в связи"
Duke,Герцог
Dull,"Скучный, унылый"
Dumb,Немой
Dumb,Тупой
Dummy,"Манекен, чучело"
Dump,"Сваливать, сбрасывать свалка"
Dump,Бросать (парня/девушку)
Duo,Дуэт
Duplicate,"Дублировать, дубликат"
Durable,"Прочный, долговечный"
Duration,Продолжительность
Dusk,Смеркаться
Dust,Пыль
Duty,"Обязанность, служба"
Dwarf,"Карлик, гном"
Dwell,"Обитать, проживать"
Dwell on,Остановиться (подробно)
Dwindle,Постепенно уменьшаться
Dye,"Краска, краситель"
Eager,Сильно желающий
Earn,Зарабатывать
Earnest,"Серьёзный, ревностный"
Earring,Серьга
Earth,Земля
Earthquake (quake),Землетрясение
Ease,"Лёгкость, облегчать"
Easter,Пасха
Eat out,Есть не дома
Eat up,Съесть полностью
Echo,"Эхо, отголосок, отражаться"
Eclipse,Затмение
Edge,Край
Edible,Съедобный
Edit,"Редактировать, монтировать"
Educate,"Воспитывать, обучать"
Efficacy,Результативность
Efficient,"Оптимальный, эффективный"
Effort,"Усилие, старание"
Eject,Выталкивать
Elaborate,"Разработать, хорошо проработанный"
Elbow,Локоть
Elder,Старший
Elect,Избирать
Elevate,"Поднимать, повышать"
Elicit,"Добиться, извлечь"
Eligible,Имеющий право
Eliminate,"Устранять, ликвидировать"
Elk,Лось
Eloquent,"Красноречивый, выразительный"
Elude,"Ускользнуть, увернуться"
Embark on,Начать (что-то серьёзное)
Embarrass,"Смущать, стеснять"
Embassy,Посольство
Embed,"Встроить, вставить"
Embody,Олицетворять
Embrace,"Обхватить, обнять, обхват"
Emerge,Появляться
Emergency,Чрезвычайная ситуация
Eminent,"Видный, уважаемый"
Emit,"Испускать, издавать"
Emperor,Император
Emphasis,"Акцент, внимание, ударение"
Empire,Империя
Employ,Использовать
Employ,Нанимать на работу
Empower,"Давать возможность, право"
Empty,"Пустой, опустошать"
Enable,Давать возможность
Enact,Вводить (напр. закон)
Enchant,"Околдовать, очаровать"
Enclose,"Окружать, заключать"
Encompass,"Охватывать, заключать"
Encounter,"Встретиться, столкнуться"
Encourage,"Поддерживать, поощрять"
End up,Заканчивать чем-либо
Endanger,Подвергать опасности
Endeavor (endeavour),"Стремиться, стараться, попытка"
Endorse,"Одобрять, поддерживать"
Endow,"Наделять, даровать"
Endure,Выдерживать
Enforce,"Внедрить, навязать"
Engage in,"Заниматься, вступать, вовлекать"
Engaged,Помолвленный (-ая)
Engender,"Зарождать, порождать"
Engine,Двигатель или машина
Enhance,"Повысить, усилить, расширить"
Enlarge,"Увеличить, расширить"
Enlighten,Просветить
Enlist,Привлечь (к делу)
Enormous,Огромный
Enrich,Обогащать
Enrol (enroll),"Записать (в члены), набрать"
Ensemble,Ансамбль
Ensue,"Следовать, вытекать"
Ensure,"Обеспечить, гарантировать"
Entail,"Влечь за собой, подразумевать"
Enter,Войти
Enterprise,"Предприятие, предпринимательство"
Entertain,Развлекать
Entice,Соблазнять
Entire,"Весь, целый"
Entitle,Давать название
Entitle,Давать право (по заслугам)
Entity,Сущность
Entrepreneur,Предприниматель
Envelope,Конверт
Envision,Воображать
Envy,Зависть
Equal,"Равный, равняться"
Equation,Уравнение
Equip,"Оснащать, снаряжать"
Equity,"Равноправие, справедливость"
Eradicate,"Уничтожить, искоренить"
Erase,Стирать
Erect,"Воздвигнуть, соорудить"
Erode,"Размывать, выветривать"
Errand,Поручение
Error,Ошибка
Erupt,Извергаться
Escape,"Избежать, спастись"
Essence,Сущность
Essential,Необходимый
Establish,"Установить, учредить"
Esteem,"Уважать, почитать, почтение"
Estimate,Примерно оценивать
Eternal,Вечный
Evade,Уклоняться
Evaluate,Дать оценку
Evaporate,Испаряться
Eve,Канун
Event,Событие
Eventual,"Конечный, возможный"
Evident,Очевидный
Evil,"Злой, зло"
Evoke,Вызывать
Evolve,"Развиваться, эволюционировать"
Exact,Точный
Exaggerate,Преувеличивать
Examine,"Осмотреть, изучить"
Excavate,"Рыть, выкапывать"
Exceed,Превышать
Excel,Преуспеть
Excellent,Превосходный
Except,"Кроме, исключая"
Excerpt,"Выдержка, отрывок"
Excess,"Избыток, чрезмерный"
Exchange,Обмен
Excite,"Волновать, возбуждать"
Exclaim,Восклицать
Exclude,Исключать
Excuse,"Оправдание, отмазка"
Execute,Исполнить
Execute,Казнить
Exempt,"Освободить (от), освобождение"
Exercise,"Упражнение, тренироваться"
Exert,"Приложить, оказать"
Exhale,Выдыхать
Exhaust,"Исчерпывать, истощать"
Exhaust,Выхлопные газы
Exhibit,"Выставлять, показывать"
Exile,"Ссылка, изгнание"
Exist,Существовать
Exit,"Выход, выходить"
Expand,"Расширять, распространять"
Expanse,"Пространство, простор"
Expel,"Высылать, изгонять"
Expenditure,Расходы
Expense,Расходы
Expertise,"Опыт, компетенция"
Expire,Истекать
Explain,Объяснять
Explicit,"Явный, откровенный"
Explode,Взрываться
Exploit,"Использовать, эксплуатировать"
Explore,Изучать
Expose,"Выставлять, обнажать"
Express,Выражать
Exquisite,"Утончённый, изысканный"
Extend,"Расширять, удлиннять"
Extent,"Степень, мера"
Exterior,"Внешний, внешняя сторона"
External,Внешний
Extinct,Вымерший
Extinguish,Погасить
Extort,Вымогать
Extra,Дополнительный
Extract,Извлекать
Extreme,Крайний
Exuberant,"Буйный, энергичный"
Eyebrow,Бровь
Eyelid,Веко
Fable,Басня
Fabric,"Ткань, материал"
Fabulous,"Невероятный, легендарный"
Face up to,Принять (обстоятельства)
Facet,"Грань, в т. ч. перен. (аспект)"
Facial,Лицевой
Facilitate,"Облегчать, способствовать"
Facility,"Сооружение, объект"
Facility,"Лёгкость, удобство"
Faction,"Группировка, фракция"
Factory,"Фабрика, завод"
Faculty,"Дар, способность"
Fade,"Увядать, блекнуть"
Fail,Потерпеть неудачу
Failure,"Неудача, провал"
Faint,"Слабый, неуловимый"
Faint,"Обморок, падать в обморок"
Fair,Светлый
Fair,"Справедливый, честный"
Fairly,"Довольно, вполне"
Fairy,Фея
Faith,Вера
Fall,Осень (амер.)
Fall apart,Разваливаться
Fall asleep,Уснуть
Fall back on,"Опереться, прибегнуть"
Fall behind,Отставать
Fall for,Вестись
Fall for,Влюбляться
Fall in love with,Влюбиться
Fall out,Ссориться
Fall over,"Упасть, перевернуться"
Fall through,Провалиться
False,"Ложный, неверный"
Falter,"Колебаться, дрогнуть"
Fame,"Известность, слава"
Familiar,Знакомый
Famine,Голод
Famous,Знаменитый
Fan,Вентилятор
Fancy,"Необычный, причудливый, модный"
Fancy,"Представлять, полагать"
Faraway,Далёкий
Fare,Плата за проезд
Farewell,"Прощальный, прощание"
Farm,Ферма
Fascinate,Очаровывать
Fashion,Мода
Fashion,"Стиль, образ, манер"
Fasten,Закрепить
Fat,"Жир, жирный"
Fate,"Судьба, участь"
Fatigue,"Усталость, утомление"
Faucet,Кран
Fault,"Недостаток, неисправность"
Fault,"Вина, ошибка"
Favor,Благоприятствовать
Favor (favour),Услуга
Fear,"Страх, бояться"
Feasible,"Выполнимый, осуществимый"
Feast,"Праздник, пир"
Feat,"Подвиг, свершение"
Feather,Перо
Feature,"Черта, особенность"
Fee,Плата
Feeble,"Слабый, немощный"
"Feed (fed, fed)",Кормить
Feed on,Питаться
Feedback,Обратная связь
"Feel (felt, felt)","Трогать, щупать"
Feel for,Сочувствовать
Feel like,Хотеть
Fellow,"Парень, человек"
Fellow,Товарищ по чему-либо
Felon,"Преступник, уголовник"
Female,Женский
Feminine,Женский
Fence,"Забор, огораживать"
Fend for (oneself),Позаботиться о (себе)
Fend off,Защищаться
Ferocious,Свирепый
Ferry,"Переправа, паром"
Fertile,Плодородный
Fetch,Сходить принести
Fetus,"Плод, эмбрион"
Fever,"Лихорадка, жар"
Fibre,Волокно
Fiction,"Вымысел, худ.литература"
Fiddle,Скрипка
Fidelity,Верность
Fierce,Свирепый
Fight back,Отбиваться
Fight off,Отбить
Figure out,"Понять, придумать"
Fill in,Заполнить
Fill in on,Посвятить (в подробности)
Fill up,Наполнить целиком
Film,Снимать кино
Filth,"Грязь, гадость"
Fin,Плавник
Find out,Выяснить
Fingertip,Кончик пальца
Fir,Ель
Firefighter,Пожарник
Fireplace,Камин
Firework,"Фейерверк, петарда"
Firm,Твёрдый
Fisherman,Рыбак
Fishing,Рыбалка
Fist,Кулак
Fit,"Приступ, припадок"
"Fit (fit, fit)","Подходить, помещаться"
Fit in with,Вписаться (в коллектив)
Fix,"Исправить, наладить"
Fixture,"Крепление, стойка и т.д."
Flair,"Чутьё, талант"
Flake,"Слоиться, крошиться"
Flakes,Хлопья
Flame,"Пламя, пылать"
Flank,"Бок, фланг"
Flap,"Створка, клапан, хлопать"
Flare,"Вспышка, вспыхивать"
Flash,"Вспышка, вспыхнуть"
Flashlight,Фонарик
Flat,"Плоский, ровный"
Flat,Квартира
Flatter,Льстить
Flavor,"Вкус, приправлять"
Flaw,Изъян
Flea,Блоха
"Flee (fled, fled)",Спасаться бегством
Fleet,Флот
Fleeting,"Мимолётный, скоротечный"
Flesh,"Плоть, мясо"
Flex,Сгибать
Flick,Короткое резкое движение
Flick,Фильм (разг.)
Flick through,"Просмотреть, пролистать"
Flicker,Мерцать
Flight,"Полёт, рейс"
Flight,Бегство
Flight attendant,Бортпроводник
Flinch,"Дёрнуться, дрогнуть"
"Fling (flung, flung)",Швырнуть
Flip,"Переворачивать, перевёрнутый"
Float,Плыть
Flock,"Стадо, стая"
Flood,"Потоп, наводнение, наводнять"
Flood in,"Наплыть, валить потоком"
Flop,"Провал, неудача"
Flour,Мука
Flourish,Процветать
Flow,"Поток, течь"
Flu,Грипп
Fluctuate,Колебаться
Fluent,Беглый
Fluffy,Пушистый
Fluid,"Жидкий, текучий"
Flurry,"Поток, шквал"
Flush,"Промывать, смывать"
Flush,"Румянец, порозоветь"
Flute,Флейта
Flutter,"Трепетать, развеваться, порхать"
Fly,Муха
Foam,Пена
Focus,Сосредоточить (ся)
Foe,Недруг
Fog,Туман
Foil,"Расстаривать, разрушать"
Foil,Фольга
Fold,"Сворачивать, складывать"
Folder,Папка
Foliage,Листва
Folk,"Люди, народ"
Follow,"Следовать, следить"
Folly,"Глупость, безумие"
Fond of,Любящий
Fool,"Дурак, дурачить"
Fool around,Придуриваться
Footage,"Запись, кадры видео"
Footing,"Опора, основа"
Footprint,След
For real,"Правда, серьёзно"
For sure,"Наверняка, точно"
For the sake of,Ради
"Forbid (forbade, forbidden)",Запрещать
Forcible,Насильственный
Forecast,Прогноз
Forehead,Лоб
Foreman,"Мастер, бригадир"
Foremost,"Передовой, первоочередной"
Foresee,Предвидеть
Forge,Ковать
Forge,Подделывать
"Forgive (forgave, forgiven)",Простить
Fork,"Развилка, раздваиваться"
Formidable,"Внушительный, грозный"
Forth,"Дальше, вперёд"
Forthcoming,Предстоящий
Fortify,"Укреплять, поддерживать"
Fortunate,Удачный
Fortune,Состояние (деньги)
Fortune,"Счастье, удача, судьба"
Fossil,Ископаемое
Foster,Приёмный (ребёнок)
Foster,"Способствовать, питать и т.д."
Foul,"Гадкий, скверный, грязный"
Found,"Основать, учредить"
Foundation,Фундамент
Fountain,Фонтан
Foyer,Фойе
Fraction,"Доля, часть, дробь"
Fracture,"Перелом, разрушение"
Fragile,Хрупкий
Fragrant,"Душистый, ароматный"
Frail,Хилый
Frame,"Рамка, каркас и т.п."
Framework,"Каркас, основа, рамки"
Frank,Откровенный
Frantic,"Неистовый, бешеный"
Fraud,"Обман, мошенничество"
Fray,"Драка, бой, соревнование"
Frayed,Потрёпанный
Freak,Урод
Freak out,Пугать или бесить
Free up,Высвободить
Freeway,Автострада
"Freeze (froze, frozen)",Замораживать
Freight,Грузовой
Frenzy,"Неистовство, безумие"
Frequent,Частый
Freshen up,Освежить(ся)
Fret,Волновать (ся)
Friction,Трение
Friendly,Дружелюбный
Fright,Испуг
Frighten off,Отпугивать
Fringe,"Край, крайний"
Frog,Лягушка
Front,"Перед, передний"
Frontier,Граница
Frost,Мороз
Frown,Хмуриться
Fruitless,Бесплодный
Frustrate,"Расстраивать (план, схему)"
Fry,Жарить
Fuck with,"Дразнить, шутить, злить"
Fuel,"Топливо, заправлять"
Fugitive,Беглец
Fulfil,Исполнить
Fumble,"Щупать, лапать, мять и т. д."
Fume,"Дым, испарение"
Fund,"Фонд, финансировать"
Funeral,"Похороны, похоронный"
Fungus,"Гриб, грибок"
Funnel,Воронка
Fur,Мех
Furnace,Печь
Furnish,Предоставлять
Furnish,"Обставлять, меблировать"
Furniture,Мебель
Fury,"Ярость, бешенство"
Fuse,"Плавиться, сливаться"
Fuss,Суетиться
Futile,"Тщетный, напрасный"
Fuzzy,"Пушистый, ворсистый"
Gain,"Получать, выигрывать"
Gait,Походка
Gala,"Праздник, торжество"
Gamble,"Азартная игра, играть"
Gang,"Банда, шайка"
Gap,"Разрыв, пробел"
Garbage,Мусор (особ. пищевой)
Garlic,Чеснок
Garment,Предмет одежды
Garnish,"Гарнир, украшение"
Gas,Бензин
Gasp,"Задыхаться, ловить воздух"
Gates,Ворота
Gather,Собирать (ся)
Gauge,"Измерить, изм. прибор"
Gaze,Пристально глядеть
Gear,"Механизм, привод, передача"
Geared to,Направлен на
Gem,(полу)драгоценный камень
Gender,Пол
Gene,Ген
Generation,Поколение
Generous,"Великодушный, щедрый"
Gentle,"Мягкий, тихий, нежный и т. д."
Genuine,"Подлинный, настоящий"
Germ,Микроб или зародыш
Gesture,"Жест, жестикулировать"
Get about,Передвигаться (на чём-то)
Get ahead,"Преуспевать, продвигаться"
Get ahead of,Обогнать
Get along,Ладить
Get at,"Клонить, намекать"
Get away with,Безнаказанно сделать
Get back at,Отомстить
Get by,"Обойтись, протянуть"
Get down,Приступить
Get in,Прибывать (о транспорте)
Get lost,Пропасть
Get off,Выходить (из транспорта)
Get off with,Отделаться чем-либо
Get on,"Быть, делать"
Get out of,"Избежать, отмазаться"
Get over,"Пережить, принять"
Get rid of,Избавиться от
Get stuck,Застрять
Get through,Дозвониться
Get together,Собираться
Get used to,Привыкнуть
Ghost,Привидение
Giant,Гигантский
Gift,Подарок
Giggle,"Хихикать, хихиканье"
Give a ride,Подвезти
Give away,"Раздавать, дарить"
Give away,Выдать (раскрыть)
Give birth to,Родить
Give off,"Издавать, испускать"
Give out,"Раздать, выдать"
Give up,"Отказаться, сдаться"
Give up,Бросить (привычку)
Glacier,Ледник
Glamour,"Очарование, привлекательность"
Glance,Взгляд
Glare,"Яркий свет, ослеплять"
Glass,Стекло или стакан
Glasses,Очки
Glaze,"Глазурь, глянец"
Gleam,"Блеск, отблеск"
Glide,"Скользить, планировать"
Glimpse,Вид (мельком или уголком)
Glint,"Вспыхнуть, сверкнуть (слегка)"
Glitter,"Блеск, блестеть, сверкать"
Globe,"Мир, земной шар"
Gloom,"Сумрак, уныние"
Glory,"Слава, сияние"
Gloss,"Глянец, лоск"
Glove,Перчатка
Glow,"Сияние, свечение"
Glue,"Клей, клеить"
Gnaw on,"Грызть, обгладывать"
Go about,Заниматься (делами)
Go against,Противоречить
Go ahead,Взять (и сделать)
Go along,"Поддерживать, соглашаться"
Go bad,Испортиться
Go down,Быть принятым
Go for,Быть проданным за
Go for,"Выбирать, предпочитать"
Go into,Вдаваться
Go off,Сработать
Go off,Отключиться
Go on,Происходить
Go on,Продолжаться
Go out,Погаснуть
Go over,"Просмотреть, изучить"
Go through,"Просмотреть, перебрать"
Go together,Сочетаться
Go under,Разориться
Goal,Цель
Goat,"Козел, коза"
Goddess,Богиня
Goods,Товары
Goof,"Балбес, придурок (амер.)"
Gorgeous,Шикарный
Gospel,Евангелие
Gossip,Слухи
Govern,Управлять
Gown,Платье
Grab,"Схватить, нахапать и т.д."
Grace,"Благодать, милость"
Grade,Оценка
Grade,"Класс, уровень"
Gradual,Постепенный
Graduate,"Выпускник, выпускаться"
Grain,"Зерно, крупица"
Grand,"Большой, великий"
Grant,"Давать, дарить"
Grape,Виноград (ягода)
Graph,График
Grapple,"Сцепиться, бороться"
Grasp,Схватывать
Grate,Решетка
Grateful,Благодарный
Gratify,"Удовлетворять, радовать"
Gratitude,Благодарность
Grave,Могила
Grave,Серьёзный
Gravel,Гравий
Gravy,"Подливка, соус"
Graze,Пасти(сь)
Grease,"Смазка, жир"
Greed,Жадность
Greenhouse,"Теплица, оранжерея"
Greet,Приветствовать
Grid,"Сетка, решётка"
Grief,Горе
Grievance,Обида
Grieve,Горевать
Grim,"Мрачный, зловещий"
Grin,"Ухмыляться, ухмылка, оскал"
"Grind (ground, groud)","Молоть, измельчать"
Grip,"Хватать, захват, хватка"
Grit,"Крошка, песок, гравий"
Grit,"Твёрдость, стойкость"
Groan,"Стон, стонать"
Grocery,Продуктовый
Groom,Жених
Groove,"Канавка, желоб"
Grope,"Щупать, искать вслепую"
Gross,"Валовой, грязный"
Gross,Грубый (во всех смыслах)
Grove,Лесок
"Grow (grew, grown)",Становиться
"Grow (grew, grown)",Расти или выращивать
Grow up,Вырастать
Growl,Рычать
Grudge,"Обида, злоба"
Grumble,"Ворчать, жаловаться"
Grunt,Хрюкать
Guard,"Сторожить, стража"
Guess,"Угадывать, догадываться"
Guest,Гость
Guide,"Вести, направлять"
Guideline,"Общее правило, принцип"
Guilt,Вина
Guise,"Облик, личина"
Gulf,"Разрыв, пропасть"
Gulf,Залив
Gulp,"Большой глоток, заглатывать"
Gum,Жвачка
Gun,Огнестрельное оружие
Gust,Порыв
Gut,Кишка
Gutter,"Желоб, сток"
Gym,Спортзал
Gypsy,"Цыган, цыганский"
Habit,"Привычка, обычай"
Habitat,"Среда, место обитания"
Hack,"Рубить, кромсать"
Hail,Град
Hail,"Окликнуть, привлечь внимание"
Hail,Приветствовать
Haircut,"Стрижка, причёска"
Hallmark,Характерная черта
Halt,Останавливаться
Halve,Делить пополам
Ham,Ветчина
Hammer,Молоток
Hamper,"Затруднять, ограничивать"
Hand down,Передать (по наследству)
Hand in,Сдать
Hand over,Передать
Handbook,"Руководство, справочник"
Handcuffs,Наручники
Handful,Горсть
Handicap,"Помеха, недостаток"
Handkerchief,Носовой платок
Handle,Рукоятка
